"Notes"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"2017"	"2017"	"Under 15 years"	"15"	1917
	"2017"	"2017"	"15-19 years"	"15-19"	194377
	"2017"	"2017"	"20-24 years"	"20-24"	764780
	"2017"	"2017"	"25-29 years"	"25-29"	1123577
	"2017"	"2017"	"30-34 years"	"30-34"	1091917
	"2017"	"2017"	"35-39 years"	"35-39"	554796
	"2017"	"2017"	"40-44 years"	"40-44"	114813
	"2017"	"2017"	"45-49 years"	"45-49"	8483
	"2017"	"2017"	"50 years and over"	"50+"	840
"Total"	"2017"	"2017"			3855500
	"2018"	"2018"	"Under 15 years"	"15"	1736
	"2018"	"2018"	"15-19 years"	"15-19"	179871
	"2018"	"2018"	"20-24 years"	"20-24"	726175
	"2018"	"2018"	"25-29 years"	"25-29"	1099491
	"2018"	"2018"	"30-34 years"	"30-34"	1090697
	"2018"	"2018"	"35-39 years"	"35-39"	566786
	"2018"	"2018"	"40-44 years"	"40-44"	117381
	"2018"	"2018"	"45-49 years"	"45-49"	8616
	"2018"	"2018"	"50 years and over"	"50+"	959
"Total"	"2018"	"2018"			3791712
	"2019"	"2019"	"Under 15 years"	"15"	1787
	"2019"	"2019"	"15-19 years"	"15-19"	171674
	"2019"	"2019"	"20-24 years"	"20-24"	704342
	"2019"	"2019"	"25-29 years"	"25-29"	1078097
	"2019"	"2019"	"30-34 years"	"30-34"	1089281
	"2019"	"2019"	"35-39 years"	"35-39"	572598
	"2019"	"2019"	"40-44 years"	"40-44"	120152
	"2019"	"2019"	"45-49 years"	"45-49"	8536
	"2019"	"2019"	"50 years and over"	"50+"	1073
"Total"	"2019"	"2019"			3747540
	"2020"	"2020"	"Under 15 years"	"15"	1765
	"2020"	"2020"	"15-19 years"	"15-19"	158043
	"2020"	"2020"	"20-24 years"	"20-24"	665595
	"2020"	"2020"	"25-29 years"	"25-29"	1024402
	"2020"	"2020"	"30-34 years"	"30-34"	1069984
	"2020"	"2020"	"35-39 years"	"35-39"	564059
	"2020"	"2020"	"40-44 years"	"40-44"	120570
	"2020"	"2020"	"45-49 years"	"45-49"	8234
	"2020"	"2020"	"50 years and over"	"50+"	995
"Total"	"2020"	"2020"			3613647
	"2021"	"2021"	"Under 15 years"	"15"	1877
	"2021"	"2021"	"15-19 years"	"15-19"	146973
	"2021"	"2021"	"20-24 years"	"20-24"	648484
	"2021"	"2021"	"25-29 years"	"25-29"	1023989
	"2021"	"2021"	"30-34 years"	"30-34"	1115055
	"2021"	"2021"	"35-39 years"	"35-39"	592179
	"2021"	"2021"	"40-44 years"	"40-44"	126332
	"2021"	"2021"	"45-49 years"	"45-49"	8362
	"2021"	"2021"	"50 years and over"	"50+"	1041
"Total"	"2021"	"2021"			3664292
	"2022"	"2022"	"Under 15 years"	"15"	1825
	"2022"	"2022"	"15-19 years"	"15-19"	143789
	"2022"	"2022"	"20-24 years"	"20-24"	638685
	"2022"	"2022"	"25-29 years"	"25-29"	1013417
	"2022"	"2022"	"30-34 years"	"30-34"	1118787
	"2022"	"2022"	"35-39 years"	"35-39"	606598
	"2022"	"2022"	"40-44 years"	"40-44"	134115
	"2022"	"2022"	"45-49 years"	"45-49"	9312
	"2022"	"2022"	"50 years and over"	"50+"	1230
"Total"	"2022"	"2022"			3667758
"Total"					62785487
"---"
"Dataset: Natality, 2007-2022"
"Query Parameters:"
"Age of Mother 9: Under 15 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years; 45-49 years; 50"
"years and over"
"Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022"
"Group By: Year; Age of Mother 9"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Jul 13, 2024 4:09:59 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2022, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Jul 13, 2024 4:09:59 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
