"Date Printed: Thursday, June 1, 2023 9:45:59 PM",,,,,,,,,,
"Title: ""HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | United States | All races/ethnicities | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""""",,,,,,,,,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"21,681",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"15,029",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"13,129",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"135,672",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Other,740,Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"12,400",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,482",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"5,985",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"118,723",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Other,"3,123",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,624",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,870",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,584",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"118,326",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Other,"2,280",Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,587,Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,645,Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Injection drug use,204,Data not available,NA
HIV prevalence,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"19,201",Data not available,NA
HIV prevalence,2019,United States,NA,55+,All races/ethnicities,Male,Other,"1,081",Data not available,NA
HIV prevalence,2019,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"37,218",Data not available,NA
HIV prevalence,2019,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"23,538",Data not available,NA
HIV prevalence,2019,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"42,841",Data not available,NA
HIV prevalence,2019,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"191,621",Data not available,NA
HIV prevalence,2019,United States,NA,45-54,All races/ethnicities,Male,Other,618,Data not available,NA
HIV prevalence,2019,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"22,839",Data not available,NA
HIV prevalence,2019,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"16,414",Data not available,NA
HIV prevalence,2019,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"14,734",Data not available,NA
HIV prevalence,2019,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"142,799",Data not available,NA
HIV prevalence,2019,United States,NA,35-44,All races/ethnicities,Male,Other,677,Data not available,NA
HIV prevalence,2019,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"12,698",Data not available,NA
HIV prevalence,2019,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,592",Data not available,NA
HIV prevalence,2019,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"6,127",Data not available,NA
HIV prevalence,2019,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"113,255",Data not available,NA
HIV prevalence,2019,United States,NA,25-34,All races/ethnicities,Male,Other,"2,987",Data not available,NA
HIV prevalence,2019,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,896",Data not available,NA
HIV prevalence,2019,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"7,019",Data not available,NA
HIV prevalence,2019,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,566",Data not available,NA
HIV prevalence,2019,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"116,994",Data not available,NA
HIV prevalence,2019,United States,NA,13-24,All races/ethnicities,Male,Other,"2,428",Data not available,NA
HIV prevalence,2019,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,642,Data not available,NA
HIV prevalence,2019,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,760,Data not available,NA
HIV prevalence,2019,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,226,Data not available,NA
HIV prevalence,2019,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"20,546",Data not available,NA
HIV prevalence,2018,United States,NA,55+,All races/ethnicities,Male,Other,"1,025",Data not available,NA
HIV prevalence,2018,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"34,798",Data not available,NA
HIV prevalence,2018,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"21,866",Data not available,NA
HIV prevalence,2018,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"41,586",Data not available,NA
HIV prevalence,2018,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"175,144",Data not available,NA
HIV prevalence,2018,United States,NA,45-54,All races/ethnicities,Male,Other,659,Data not available,NA
HIV prevalence,2018,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"23,835",Data not available,NA
HIV prevalence,2018,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"17,843",Data not available,NA
HIV prevalence,2018,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"16,524",Data not available,NA
HIV prevalence,2018,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"150,081",Data not available,NA
HIV prevalence,2018,United States,NA,35-44,All races/ethnicities,Male,Other,626,Data not available,NA
HIV prevalence,2018,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"12,924",Data not available,NA
HIV prevalence,2018,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,553",Data not available,NA
HIV prevalence,2018,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"6,301",Data not available,NA
HIV prevalence,2018,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"108,371",Data not available,NA
HIV prevalence,2018,United States,NA,25-34,All races/ethnicities,Male,Other,"2,742",Data not available,NA
HIV prevalence,2018,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,958",Data not available,NA
HIV prevalence,2018,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"7,023",Data not available,NA
HIV prevalence,2018,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,457",Data not available,NA
HIV prevalence,2018,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"112,957",Data not available,NA
HIV prevalence,2018,United States,NA,13-24,All races/ethnicities,Male,Other,"2,613",Data not available,NA
HIV prevalence,2018,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,695,Data not available,NA
HIV prevalence,2018,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,831,Data not available,NA
HIV prevalence,2018,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,233,Data not available,NA
HIV prevalence,2018,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"20,921",Data not available,NA
HIV prevalence,2017,United States,NA,55+,All races/ethnicities,Male,Other,973,Data not available,NA
HIV prevalence,2017,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"32,345",Data not available,NA
HIV prevalence,2017,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"20,135",Data not available,NA
HIV prevalence,2017,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"40,238",Data not available,NA
HIV prevalence,2017,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"158,993",Data not available,NA
HIV prevalence,2017,United States,NA,45-54,All races/ethnicities,Male,Other,695,Data not available,NA
HIV prevalence,2017,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"24,651",Data not available,NA
HIV prevalence,2017,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"19,364",Data not available,NA
HIV prevalence,2017,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"18,440",Data not available,NA
HIV prevalence,2017,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"156,310",Data not available,NA
HIV prevalence,2017,United States,NA,35-44,All races/ethnicities,Male,Other,604,Data not available,NA
HIV prevalence,2017,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"13,218",Data not available,NA
HIV prevalence,2017,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,617",Data not available,NA
HIV prevalence,2017,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"6,503",Data not available,NA
HIV prevalence,2017,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"104,570",Data not available,NA
HIV prevalence,2017,United States,NA,25-34,All races/ethnicities,Male,Other,"2,443",Data not available,NA
HIV prevalence,2017,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,911",Data not available,NA
HIV prevalence,2017,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,946",Data not available,NA
HIV prevalence,2017,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,363",Data not available,NA
HIV prevalence,2017,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"107,492",Data not available,NA
HIV prevalence,2017,United States,NA,13-24,All races/ethnicities,Male,Other,"2,867",Data not available,NA
HIV prevalence,2017,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,722,Data not available,NA
HIV prevalence,2017,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,940,Data not available,NA
HIV prevalence,2017,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,230,Data not available,NA
HIV prevalence,2017,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"21,699",Data not available,NA
HIV prevalence,2016,United States,NA,55+,All races/ethnicities,Male,Other,916,Data not available,NA
HIV prevalence,2016,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"29,855",Data not available,NA
HIV prevalence,2016,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"18,469",Data not available,NA
HIV prevalence,2016,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"38,637",Data not available,NA
HIV prevalence,2016,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"143,480",Data not available,NA
HIV prevalence,2016,United States,NA,45-54,All races/ethnicities,Male,Other,736,Data not available,NA
HIV prevalence,2016,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"25,270",Data not available,NA
HIV prevalence,2016,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"20,617",Data not available,NA
HIV prevalence,2016,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"20,432",Data not available,NA
HIV prevalence,2016,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"161,217",Data not available,NA
HIV prevalence,2016,United States,NA,35-44,All races/ethnicities,Male,Other,578,Data not available,NA
HIV prevalence,2016,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"13,709",Data not available,NA
HIV prevalence,2016,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,738",Data not available,NA
HIV prevalence,2016,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"6,872",Data not available,NA
HIV prevalence,2016,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"101,461",Data not available,NA
HIV prevalence,2016,United States,NA,25-34,All races/ethnicities,Male,Other,"2,137",Data not available,NA
HIV prevalence,2016,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,942",Data not available,NA
HIV prevalence,2016,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,939",Data not available,NA
HIV prevalence,2016,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,349",Data not available,NA
HIV prevalence,2016,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"101,515",Data not available,NA
HIV prevalence,2016,United States,NA,13-24,All races/ethnicities,Male,Other,"3,114",Data not available,NA
HIV prevalence,2016,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,779,Data not available,NA
HIV prevalence,2016,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,054",Data not available,NA
HIV prevalence,2016,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,246,Data not available,NA
HIV prevalence,2016,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"22,311",Data not available,NA
HIV prevalence,2015,United States,NA,55+,All races/ethnicities,Male,Other,862,Data not available,NA
HIV prevalence,2015,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"27,487",Data not available,NA
HIV prevalence,2015,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"16,804",Data not available,NA
HIV prevalence,2015,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"36,988",Data not available,NA
HIV prevalence,2015,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"129,252",Data not available,NA
HIV prevalence,2015,United States,NA,45-54,All races/ethnicities,Male,Other,765,Data not available,NA
HIV prevalence,2015,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"25,661",Data not available,NA
HIV prevalence,2015,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"21,645",Data not available,NA
HIV prevalence,2015,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"22,499",Data not available,NA
HIV prevalence,2015,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"163,228",Data not available,NA
HIV prevalence,2015,United States,NA,35-44,All races/ethnicities,Male,Other,578,Data not available,NA
HIV prevalence,2015,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"14,074",Data not available,NA
HIV prevalence,2015,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"11,143",Data not available,NA
HIV prevalence,2015,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"7,338",Data not available,NA
HIV prevalence,2015,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"100,445",Data not available,NA
HIV prevalence,2015,United States,NA,25-34,All races/ethnicities,Male,Other,"1,832",Data not available,NA
HIV prevalence,2015,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"5,895",Data not available,NA
HIV prevalence,2015,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,904",Data not available,NA
HIV prevalence,2015,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,449",Data not available,NA
HIV prevalence,2015,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"94,701",Data not available,NA
HIV prevalence,2015,United States,NA,13-24,All races/ethnicities,Male,Other,"3,363",Data not available,NA
HIV prevalence,2015,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,798,Data not available,NA
HIV prevalence,2015,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,116",Data not available,NA
HIV prevalence,2015,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,265,Data not available,NA
HIV prevalence,2015,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"22,742",Data not available,NA
HIV prevalence,2014,United States,NA,55+,All races/ethnicities,Male,Other,802,Data not available,NA
HIV prevalence,2014,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"25,054",Data not available,NA
HIV prevalence,2014,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"15,177",Data not available,NA
HIV prevalence,2014,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"35,061",Data not available,NA
HIV prevalence,2014,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"115,827",Data not available,NA
HIV prevalence,2014,United States,NA,45-54,All races/ethnicities,Male,Other,809,Data not available,NA
HIV prevalence,2014,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"25,745",Data not available,NA
HIV prevalence,2014,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"22,414",Data not available,NA
HIV prevalence,2014,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"24,560",Data not available,NA
HIV prevalence,2014,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"162,477",Data not available,NA
HIV prevalence,2014,United States,NA,35-44,All races/ethnicities,Male,Other,572,Data not available,NA
HIV prevalence,2014,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"14,602",Data not available,NA
HIV prevalence,2014,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"11,705",Data not available,NA
HIV prevalence,2014,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"8,076",Data not available,NA
HIV prevalence,2014,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"101,182",Data not available,NA
HIV prevalence,2014,United States,NA,25-34,All races/ethnicities,Male,Other,"1,533",Data not available,NA
HIV prevalence,2014,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,024",Data not available,NA
HIV prevalence,2014,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,939",Data not available,NA
HIV prevalence,2014,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,537",Data not available,NA
HIV prevalence,2014,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"87,793",Data not available,NA
HIV prevalence,2014,United States,NA,13-24,All races/ethnicities,Male,Other,"3,583",Data not available,NA
HIV prevalence,2014,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,824,Data not available,NA
HIV prevalence,2014,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,158",Data not available,NA
HIV prevalence,2014,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,254,Data not available,NA
HIV prevalence,2014,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"22,990",Data not available,NA
HIV prevalence,2013,United States,NA,55+,All races/ethnicities,Male,Other,741,Data not available,NA
HIV prevalence,2013,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"22,774",Data not available,NA
HIV prevalence,2013,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"13,640",Data not available,NA
HIV prevalence,2013,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"33,102",Data not available,NA
HIV prevalence,2013,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"103,774",Data not available,NA
HIV prevalence,2013,United States,NA,45-54,All races/ethnicities,Male,Other,833,Data not available,NA
HIV prevalence,2013,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"25,718",Data not available,NA
HIV prevalence,2013,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"22,974",Data not available,NA
HIV prevalence,2013,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"26,582",Data not available,NA
HIV prevalence,2013,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"160,227",Data not available,NA
HIV prevalence,2013,United States,NA,35-44,All races/ethnicities,Male,Other,589,Data not available,NA
HIV prevalence,2013,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"15,092",Data not available,NA
HIV prevalence,2013,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"12,353",Data not available,NA
HIV prevalence,2013,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"8,934",Data not available,NA
HIV prevalence,2013,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"102,470",Data not available,NA
HIV prevalence,2013,United States,NA,25-34,All races/ethnicities,Male,Other,"1,290",Data not available,NA
HIV prevalence,2013,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,154",Data not available,NA
HIV prevalence,2013,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,946",Data not available,NA
HIV prevalence,2013,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,720",Data not available,NA
HIV prevalence,2013,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"81,003",Data not available,NA
HIV prevalence,2013,United States,NA,13-24,All races/ethnicities,Male,Other,"3,724",Data not available,NA
HIV prevalence,2013,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,844,Data not available,NA
HIV prevalence,2013,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,250",Data not available,NA
HIV prevalence,2013,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,270,Data not available,NA
